subgroup_family,subgroup_name,classification_group,subgroup_admissions,classification_group_total,subgroup_count_in_group,subgroup_rate_in_group,subgroup_rate_overall,enrichment_ratio,chi_square_p_value
demographics,age_80plus,false_positive,5476,4498,158,0.035126722987994664,0.1160882745754807,0.3025863130143711,7.415595705497912e-71
demographics,language_Russian,false_positive,569,4498,16,0.0035571365051133837,0.012062496025100167,0.2948922426761044,5.890666035043229e-08
prior_utilisation,low_psych_history_but_prior_admissions,false_positive,10296,4498,182,0.04046242774566474,0.21826969960356998,0.18537812540702714,4.139524896890337e-202
demographics,marital_status_Unknown,false_positive,1389,4498,14,0.0031124944419742106,0.029446057959339425,0.10570156610681461,7.623860253578563e-28
demographics,race_UNKNOWN,false_positive,1278,4498,12,0.0026678523788350376,0.027092917258485085,0.0984704730532297,4.5691062041386823e-26
demographics,race_UNKNOWN,true_negative,1278,33354,1204,0.03609761947592493,0.027092917258485085,1.3323636997643622,6.591224663294663e-78
demographics,marital_status_Unknown,true_negative,1389,33354,1292,0.03873598369011213,0.029446057959339425,1.3154896232154638,1.602600749470088e-76
medical_complexity,vital_instability_near_discharge_score,true_negative,1529,33354,1315,0.03942555615518378,0.03241398316762418,1.2163132173944893,1.5177913174246847e-40
prior_utilisation,low_psych_history_but_prior_admissions,true_negative,10296,33354,8714,0.2612580200275829,0.21826969960356998,1.1969504722922606,5.505051459731184e-270
demographics,age_80plus,true_negative,5476,33354,4618,0.1384541584217785,0.1160882745754807,1.1926627295313574,1.4085655475360423e-122
demographics,language_Russian,true_negative,569,33354,477,0.014301133297355639,0.012062496025100167,1.1855865707725182,6.2582120226336905e-12
demographics,age_70plus,true_negative,11090,33354,9140,0.27403010133717093,0.23510207542769923,1.1655792524955535,1.6007890155535724e-210
demographics,age_65plus,true_negative,14783,33354,11942,0.35803801642981353,0.31339170252909626,1.1424616974234414,3.0880469966062145e-231
diagnosis,has_cognitive_delirium,true_negative,6322,33354,5098,0.1528452359537087,0.13402302261982998,1.140440149505282,1.874548101388054e-77
medical_complexity,age_65plus_x_charlson,true_negative,11407,33354,9049,0.27130179288840917,0.24182230607788685,1.1219055730988996,2.832440369738904e-119
care_process,orders_last_24h_before_discharge_high,true_negative,4765,33354,3777,0.11323979132937578,0.10101545441054885,1.1210145218883494,1.495620405350256e-42
demographics,marital_status_WIDOWED,true_negative,4495,33354,3558,0.10667386220543264,0.09529159865171398,1.119446663869291,5.280971031318543e-39
discharge_pathway,home_discharge_without_followup_order_flag,true_negative,8116,33354,6411,0.19221082928584277,0.17205486421742172,1.1171484756336236,1.7047013017683022e-72
medical_complexity,had_icu_stay,true_negative,8070,33354,6357,0.19059183306350064,0.17107968879184243,1.114052956312068,2.3786896474208216e-68
