subgroup_family,subgroup_name,admissions,readmissions,readmission_rate,mean_predicted_probability,calibration_gap_mean_predicted_minus_observed,absolute_calibration_gap,calibration_direction,brier_score,pr_auc_average_precision,recall_sensitivity,interpretation_reliability
demographics,age_80plus,5476,700,0.12783053323593865,0.18721656507701176,0.059386031841073106,0.059386031841073106,overestimates,0.10405655004803104,0.3340200584381712,0.18714285714285714,main_interpretation
diagnosis,has_cognitive_delirium,6322,932,0.14742170199304017,0.20667697634479198,0.05925527435175182,0.05925527435175182,overestimates,0.11299346332955902,0.39554125161197157,0.26394849785407726,main_interpretation
care_process,late_medication_change_intensity_score_high,5054,886,0.17530668777206174,0.23343223094251617,0.05812554317045443,0.05812554317045443,overestimates,0.12172235794260557,0.4809667519821582,0.4525959367945824,main_interpretation
prior_utilisation,low_psych_history_but_prior_admissions,10296,1400,0.13597513597513597,0.19405277896470943,0.058077642989573464,0.058077642989573464,overestimates,0.0993583011151097,0.4490938684602007,0.25285714285714284,main_interpretation
diagnosis,has_personality_disorder,904,267,0.29535398230088494,0.35235040513181504,0.056996422830930094,0.056996422830930094,overestimates,0.1583467200073972,0.6757012689362834,0.6666666666666666,supporting_interpretation
care_process,num_total_poe_orders_high,4742,850,0.1792492619148039,0.23592182386947347,0.056672561954669576,0.056672561954669576,overestimates,0.1283102387518198,0.43962105537026136,0.4082352941176471,main_interpretation
care_process,orders_last_24h_before_discharge_high,4765,676,0.14186778593913957,0.19667358607348798,0.05480580013434841,0.05480580013434841,overestimates,0.10446743190746562,0.44007016502480006,0.3979289940828402,main_interpretation
demographics,race_WHITE - OTHER EUROPEAN,1262,248,0.196513470681458,0.2510608196125414,0.0545473489310834,0.0545473489310834,overestimates,0.12576688342052206,0.5598964065394069,0.4879032258064516,main_interpretation
demographics,insurance_grouped_Private,11924,2106,0.17661858436766187,0.23050260165717926,0.05388401728951739,0.05388401728951739,overestimates,0.10568635732049347,0.6188905103546495,0.5303893637226971,main_interpretation
diagnosis,new_self_harm_this_admission_flag,2147,731,0.34047508150908246,0.39214739744874805,0.05167231593966559,0.05167231593966559,overestimates,0.07985668690003966,0.9274422346980641,0.86593707250342,main_interpretation
care_process,num_care_team_touchpoints_high,5029,866,0.17220123284947306,0.22010547357287563,0.047904240723402575,0.047904240723402575,overestimates,0.12270708250223072,0.43756273040759625,0.35912240184757505,main_interpretation
medical_complexity,vital_instability_near_discharge_score,1529,155,0.1013734466971877,0.14835149029556435,0.04697804359837665,0.04697804359837665,overestimates,0.0738142630998809,0.4540588074811952,0.3419354838709677,main_interpretation
