subgroup_family,subgroup_name,subgroup_admissions,complement_admissions,subgroup_readmission_rate,complement_readmission_rate,readmission_rate_difference,subgroup_pr_auc,complement_pr_auc,pr_auc_difference,subgroup_recall,complement_recall,recall_difference,subgroup_precision,complement_precision,precision_difference,absolute_pr_auc_difference,absolute_recall_difference
discharge_pathway,home_discharge_without_followup_order_flag,8116,39055,0.1441596845736816,0.20865446165663806,-0.06449477708295645,0.39505955233229884,0.6206304894662068,-0.22557093713390797,0.36923076923076925,0.5590870045404344,-0.1898562353096651,0.4467425025853154,0.534804554525179,-0.08806205193986366,0.22557093713390797,0.1898562353096651
care_process,late_order_type_diversity_last_12h_high,9714,37457,0.17284331892114474,0.20396721574071602,-0.031123896819571284,0.40594793896452236,0.6301882957600375,-0.22424035679551518,0.4091721262656343,0.5629581151832461,-0.1537859889176118,0.4222495390288875,0.5472706451202443,-0.12502110609135675,0.22424035679551518,0.1537859889176118
care_process,care_team_touchpoints_last_12h_before_discharge_high,4750,42421,0.15452631578947368,0.20237618160816576,-0.04784986581869208,0.38821117494501334,0.6114020562899497,-0.22319088134493636,0.39645776566757496,0.5471170646476412,-0.15065929898006625,0.3844121532364597,0.5380914194065758,-0.15367926617011607,0.22319088134493636,0.15065929898006625
diagnosis,psychosis_and_substance_use_flag,1077,46094,0.29526462395543174,0.19527487308543412,0.09998975086999762,0.8104171014114643,0.587453687232158,0.22296341417930632,0.7515723270440252,0.5276080435507166,0.22396428349330866,0.6240208877284595,0.5216961441283093,0.1023247436001502,0.22296341417930632,0.22396428349330866
diagnosis,has_cognitive_delirium,6322,40849,0.14742170199304017,0.20531714362652698,-0.05789544163348681,0.39554125161197157,0.6159917476840107,-0.2204504960720391,0.26394849785407726,0.5653988315249792,-0.3014503336709019,0.45724907063197023,0.529950827000447,-0.07270175636847681,0.2204504960720391,0.3014503336709019
diagnosis,has_severe_mental_illness,6453,40718,0.2795598946226561,0.184562110123287,0.09499778449936913,0.7631138642913055,0.5486836094605264,0.21443025483077904,0.6929046563192904,0.49740518962075847,0.19549946669853197,0.6112469437652812,0.5023518344308561,0.10889510933442514,0.21443025483077904,0.19549946669853197
discharge_pathway,discharged_home_flag,14459,32712,0.15955460266961755,0.2143555881633651,-0.05480098549374757,0.429842835640321,0.6414875821084771,-0.21164474646815612,0.41915908105765065,0.5734455219623502,-0.15428644090469956,0.45144724556489263,0.5475217864923747,-0.09607454092748208,0.21164474646815612,0.15428644090469956
demographics,language_Russian,569,46602,0.1335676625659051,0.19833912707609117,-0.06477146451018606,0.39735628012046975,0.5981813410404054,-0.20082506091993568,0.25,0.5375960186086768,-0.2875960186086768,0.5428571428571428,0.5257644693683208,0.01709267348882204,0.20082506091993568,0.2875960186086768
demographics,marital_status_WIDOWED,4495,42676,0.15795328142380421,0.20172930921360951,-0.0437760277898053,0.42111828209584296,0.6094981485373279,-0.1883798664414849,0.32816901408450705,0.552328958067139,-0.22415994398263195,0.5065217391304347,0.5268114336361622,-0.020289694505727485,0.1883798664414849,0.22415994398263195
prior_utilisation,previous_psych_admissions_90d_high,5289,41882,0.4505577613915674,0.16560813714722314,0.2849496242443442,0.7133764475314095,0.5308678456120415,0.18250860191936802,0.9148132605958875,0.40484429065743943,0.5099689699384481,0.5249217433180833,0.5265329083067691,-0.0016111649886858537,0.18250860191936802,0.5099689699384481
care_process,orders_last_12h_before_discharge_high,4729,42442,0.16959187989004018,0.20067386079826588,-0.031081980908225698,0.42962718345610895,0.6090996972153627,-0.17947251375925377,0.44389027431421446,0.5438534695315251,-0.09996319521731067,0.41735052754982416,0.5365458125796363,-0.11919528502981214,0.17947251375925377,0.09996319521731067
demographics,language_Kabuverdianu,294,46877,0.14285714285714285,0.19790088956204535,-0.0550437467049025,0.4226882171994285,0.5971857783530742,-0.17449756115364567,0.3333333333333333,0.5361647084186698,-0.2028313750853365,0.3684210526315789,0.5264606265876376,-0.15803957395605867,0.17449756115364567,0.2028313750853365
care_process,num_care_team_touchpoints_high,5029,42142,0.17220123284947306,0.20058374068625123,-0.028382507836778176,0.43756273040759625,0.6101985541798683,-0.1726358237722721,0.35912240184757505,0.5532946882763516,-0.1941722864287766,0.43557422969187676,0.5331737346101231,-0.09759950491824632,0.1726358237722721,0.1941722864287766
