processed_feature_name,model_family,model_name,model_mean_abs_shap,model_mean_signed_shap
num__glucose_lab_min_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0028405793948223733,2.18906865750758e-05
num__hemoglobin_lab_min_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.009913550025399348,0.00010495677788259417
num__platelet_lab_min_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0024258311392797317,0.00034511351582460506
num__potassium_lab_min_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0010149352772320928,0.0001749491166312065
num__sodium_lab_min_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.006554982356974989,-0.0005368640432649541
num__urea_nitrogen_lab_min_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0016031883255719149,-0.00027255078130208736
num__wbc_lab_min_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0028189000530464705,-0.0004947006989010227
num__creatinine_lab_severe_abnormal,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0,0.0
num__glucose_lab_severe_abnormal,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,2.335246859192374e-05,-2.1363936707308794e-06
num__hemoglobin_lab_severe_abnormal,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,2.4516653191470568e-05,4.746432193327249e-06
num__platelet_lab_severe_abnormal,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0,0.0
num__potassium_lab_severe_abnormal,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0,0.0
num__urea_nitrogen_lab_severe_abnormal,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0,0.0
num__wbc_lab_severe_abnormal,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,3.884553140903068e-05,-1.6021521150277604e-06
num__creatinine_lab_std_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.001567404079554333,-0.00014684347658651926
num__glucose_lab_std_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0018254790674553504,-1.6009529197218878e-05
num__hemoglobin_lab_std_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0031472757920005382,0.00033005355662042577
num__platelet_lab_std_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0067762849586580545,0.00037056129983180553
num__potassium_lab_std_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.002645142031886931,0.00039903082124517335
num__sodium_lab_std_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.0023717686352424305,-0.00046020339823873703
num__urea_nitrogen_lab_std_value,LightGBM,Targeted LightGBM - lgbm_127_lr0023_500trees,0.009737385755106543,0.0014046914016556525
