processed_feature_name,feature_name_clean,feature_family,importance_rank,mean_abs_shap,mean_signed_shap,nonzero_train_percent,selection_reason
num__num_unique_procedure_codes,num_unique_procedure_codes,medical_comorbidity,410,0.002109747783749071,6.258609035144331e-06,100.0,top_global_shap
num__glucose_lab_first_24h_max,glucose_lab_first_24h_max,lab_vital_hourly,411,0.0020998095730581697,-0.0003895559387057602,100.0,top_global_shap
num__physical_comorbidity_count,physical_comorbidity_count,other,412,0.0020974349422567826,-0.00023218024034030787,100.0,top_global_shap
num__orders_last_24h_before_discharge,orders_last_24h_before_discharge,discharge_aftercare,413,0.0020807990745560093,0.00026453363309791265,100.0,top_global_shap
num__emar_unique_medication_count,emar_unique_medication_count,medication_emar_pharmacy,414,0.0020611019000119106,-0.00013757132175140993,100.0,top_global_shap
num__latest_height_cm_before_admission_filled,latest_height_cm_before_admission_filled,other,415,0.0020606290220896795,0.00015778619025679256,100.0,top_global_shap
num__late_discontinued_safety_orders,late_discontinued_safety_orders,poe_late_order_pathway,416,0.0020464637662684767,0.00117253429397364,100.0,top_global_shap
num__admission_month,admission_month,demographic_admin,417,0.0020434185764612693,0.00021849143960332354,100.0,top_global_shap
num__no_late_orders_but_psychosis_flag,no_late_orders_but_psychosis_flag,psychiatric_history,418,0.0020344055282074964,0.0011575121264043482,100.0,top_global_shap
num__late_discharge_hour_with_no_followup_flag,late_discharge_hour_with_no_followup_flag,discharge_aftercare,419,0.0020190066112880625,0.0002673909358566339,100.0,top_global_shap
num__has_substance_use,has_substance_use,psychiatric_history,420,0.002000774949670098,0.00010580970375203763,100.0,top_global_shap
num__systolic_bp_noninvasive_vital_last_value,systolic_bp_noninvasive_vital_last_value,lab_vital_hourly,421,0.001995308387225247,0.00013765024835379062,0.006794898599205519,top_global_shap
num__drg_mortality,drg_mortality,medical_comorbidity,422,0.001991617435164848,0.00024103174198227703,100.0,top_global_shap
num__poe_order_density_first_72h,poe_order_density_first_72h,poe_late_order_pathway,423,0.001978324485157223,0.00022069048311589045,100.0,top_global_shap
num__num_unique_order_subtypes,num_unique_order_subtypes,poe_late_order_pathway,424,0.0019657290391296616,-0.00027511502176696164,100.0,top_global_shap
num__std_previous_admission_gap_days_filled,std_previous_admission_gap_days_filled,prior_utilisation,425,0.0019577935813157167,0.0005894566950054546,3.003867865356471,top_global_shap
num__potassium_lab_first_24h_max,potassium_lab_first_24h_max,lab_vital_hourly,426,0.001956452407875955,-0.00018647503413240352,100.0,top_global_shap
num__num_provider_order_changes,num_provider_order_changes,poe_late_order_pathway,427,0.0019548807273382525,-0.0002744651310909558,100.0,top_global_shap
